num,State,latitude_x,longitude_x,name,latitude_y,longitude_y
5217,Arizona,33.415485,-111.839571,Taco Bell,34.048928,-111.093731
5844,Arizona,33.335155,-111.756139,Jack in the Box,34.048928,-111.093731
5918,Arizona,32.667754,-114.443453,Burger King,34.048928,-111.093731
5979,Arizona,35.194324,-111.657081,Jack in the Box,34.048928,-111.093731
5983,Arizona,33.493293,-112.287416,KFC,34.048928,-111.093731
5352,Arizona,33.482318,-111.9268,Wendy's,34.048928,-111.093731
5216,Arizona,34.154006,-114.280569,Taco Bell,34.048928,-111.093731
5011,Arizona,33.465973,-112.167267,Domino's Pizza,34.048928,-111.093731
5214,Arizona,34.154006,-114.280569,Taco Bell,34.048928,-111.093731
4347,Arizona,33.493035,-112.202438,Pizza Hut,34.048928,-111.093731
4348,Arizona,33.58572,-112.242802,Pizza Hut,34.048928,-111.093731
4350,Arizona,34.560986,-112.486182,Pizza Hut,34.048928,-111.093731
4467,Arizona,33.48012,-112.014783,Taco Bell,34.048928,-111.093731
4503,Arizona,33.581672,-112.135902,Taco Bell,34.048928,-111.093731
4504,Arizona,33.53818,-112.1351,Taco Bell,34.048928,-111.093731
4505,Arizona,33.53818,-112.1351,Taco Bell,34.048928,-111.093731
4739,Arizona,33.5531,-112.1689,Domino's Pizza,34.048928,-111.093731
4978,Arizona,33.450165,-112.341088,Subway,34.048928,-111.093731
4979,Arizona,32.701891,-114.603387,Subway,34.048928,-111.093731
4980,Arizona,33.460696,-112.340602,Subway,34.048928,-111.093731
5001,Arizona,33.4796,-112.074,Domino's Pizza,34.048928,-111.093731
5002,Arizona,33.3064,-112.057,Domino's Pizza,34.048928,-111.093731
5003,Arizona,33.3064,-112.057,Domino's Pizza,34.048928,-111.093731
5215,Arizona,34.154006,-114.280569,Taco Bell,34.048928,-111.093731
5004,Arizona,33.4075,-111.953,Domino's Pizza,34.048928,-111.093731
5006,Arizona,32.20203,-110.875114,Domino's Pizza,34.048928,-111.093731
5007,Arizona,33.523,-112.134,Domino's Pizza,34.048928,-111.093731
5008,Arizona,33.5806,-112.134,Domino's Pizza,34.048928,-111.093731
5009,Arizona,33.539307,-112.133858,Domino's Pizza,34.048928,-111.093731
5010,Arizona,33.4806,-112.151,Domino's Pizza,34.048928,-111.093731
6056,Arizona,33.611215,-112.151738,McDonald's,34.048928,-111.093731
5012,Arizona,33.435425,-112.303223,Domino's Pizza,34.048928,-111.093731
5013,Arizona,34.565712,-111.861794,Domino's Pizza,34.048928,-111.093731
5014,Arizona,35.2183,-114.03,Domino's Pizza,34.048928,-111.093731
5209,Arizona,33.430814,-112.065629,Taco Bell,34.048928,-111.093731
5210,Arizona,33.430814,-112.065629,Taco Bell,34.048928,-111.093731
5211,Arizona,33.46124,-112.169699,Taco Bell,34.048928,-111.093731
5212,Arizona,33.46124,-112.169699,Taco Bell,34.048928,-111.093731
5213,Arizona,33.61031,-112.220979,Taco Bell,34.048928,-111.093731
5005,Arizona,34.152588,-114.283875,Domino's Pizza,34.048928,-111.093731
6057,Arizona,33.611215,-112.151738,McDonald's,34.048928,-111.093731
6247,Arizona,31.554643,-110.26053,Pizza Hut,34.048928,-111.093731
6073,Arizona,33.305599,-111.862029,Wendy's,34.048928,-111.093731
7372,Arizona,33.33802,-111.841713,Jack in the Box,34.048928,-111.093731
7373,Arizona,33.218244,-111.826268,Jack in the Box,34.048928,-111.093731
7374,Arizona,33.843104,-112.135343,Jack in the Box,34.048928,-111.093731
7444,Arizona,33.479073,-112.073777,Subway,34.048928,-111.093731
7587,Arizona,34.249909,-110.043486,Burger King,34.048928,-111.093731
7764,Arizona,33.392688,-111.719326,Taco Del Mar,34.048928,-111.093731
7971,Arizona,34.721839,-112.001977,Taco Bell,34.048928,-111.093731
7972,Arizona,34.721839,-112.001977,Taco Bell,34.048928,-111.093731
7973,Arizona,33.379316,-111.785595,Taco Bell,34.048928,-111.093731
8033,Arizona,33.37638,-112.57113,Sonic Drive-In,34.048928,-111.093731
8376,Arizona,33.594734,-112.391136,Wendy's,34.048928,-111.093731
8377,Arizona,33.638268,-112.4147,McDonald's,34.048928,-111.093731
8378,Arizona,33.46463,-112.27328,Raising Cane's Chicken Fingers,34.048928,-111.093731
8379,Arizona,33.60926,-112.16862,Domino's Pizza,34.048928,-111.093731
7371,Arizona,33.611125,-112.169021,Jack in the Box,34.048928,-111.093731
8380,Arizona,33.457687,-112.39311,Baskin-Robbins,34.048928,-111.093731
8536,Arizona,33.6754,-111.97349,Panda Express,34.048928,-111.093731
8537,Arizona,33.47951,-111.92597,Chipotle Mexican Grill,34.048928,-111.093731
8538,Arizona,33.53876,-111.88778,Chipotle Mexican Grill,34.048928,-111.093731
8540,Arizona,33.58229,-111.92203,Raising Cane's Chicken Fingers,34.048928,-111.093731
8547,Arizona,33.3204847,-111.8416288,McDonald's,34.048928,-111.093731
8579,Arizona,33.672257,-112.239844,Panda Express,34.048928,-111.093731
8629,Arizona,33.44159,-112.55625,McDonald's,34.048928,-111.093731
8701,Arizona,31.9092,-110.9852,Burger King,34.048928,-111.093731
8797,Arizona,33.408063,-111.773639,Pizza Hut,34.048928,-111.093731
8798,Arizona,33.3943,-111.823,Domino's Pizza,34.048928,-111.093731
8799,Arizona,33.379405,-111.690073,Pizza Hut,34.048928,-111.093731
8817,Arizona,33.5569,-111.89877,Jimmy John's,34.048928,-111.093731
9234,Arizona,33.28123,-111.79028,In-N-Out Burger,34.048928,-111.093731
9235,Arizona,33.28123,-111.79028,In-N-Out Burger,34.048928,-111.093731
8478,Arizona,33.451701,-112.134881,Taco Bell,34.048928,-111.093731
6072,Arizona,33.480788,-112.200853,Popeyes Louisiana Kitchen,34.048928,-111.093731
7370,Arizona,33.567721,-112.186248,Jack in the Box,34.048928,-111.093731
7214,Arizona,33.335453,-111.859934,Taco Bell,34.048928,-111.093731
6088,Arizona,32.349872,-110.975817,KFC,34.048928,-111.093731
6098,Arizona,33.481062,-112.009928,SONIC Drive In,34.048928,-111.093731
6112,Arizona,33.378495,-111.806628,Burger King,34.048928,-111.093731
6140,Arizona,32.345434,-111.013498,Wendy's,34.048928,-111.093731
6192,Arizona,33.415021,-111.81754,Arbys,34.048928,-111.093731
6214,Arizona,33.433257,-111.870142,Taco Bell,34.048928,-111.093731
6215,Arizona,33.433257,-111.870142,Taco Bell,34.048928,-111.093731
6246,Arizona,31.350631,-109.557549,Pizza Hut,34.048928,-111.093731
4320,Arizona,34.76181,-112.453056,Taco Bell,34.048928,-111.093731
6251,Arizona,35.040979,-110.70024,Pizza Hut,34.048928,-111.093731
6524,Arizona,32.133791,-110.934083,Burger King,34.048928,-111.093731
6528,Arizona,33.553632,-112.109199,Burger King,34.048928,-111.093731
6569,Arizona,33.414059,-111.83991,Dairy Queen,34.048928,-111.093731
6574,Arizona,33.638341,-112.225214,Jimmy John's,34.048928,-111.093731
7369,Arizona,33.393769,-111.821724,Jack in the Box,34.048928,-111.093731
6575,Arizona,33.465255,-112.277288,Jimmy John's,34.048928,-111.093731
6956,Arizona,33.569365,-111.709287,Wendy's,34.048928,-111.093731
6957,Arizona,33.298829,-111.743776,Wendy's,34.048928,-111.093731
6958,Arizona,33.278046,-111.787767,Wendy's,34.048928,-111.093731
6959,Arizona,33.278046,-111.787767,Wendy's,34.048928,-111.093731
6960,Arizona,33.278046,-111.787767,Wendy's,34.048928,-111.093731
7059,Arizona,33.335184,-111.687139,Chick-fil-A,34.048928,-111.093731
7077,Arizona,33.683219,-112.106182,Jack in the Box,34.048928,-111.093731
7078,Arizona,33.640585,-112.097743,Jack in the Box,34.048928,-111.093731
7079,Arizona,33.466088,-112.077589,Jack in the Box,34.048928,-111.093731
7080,Arizona,33.597994,-112.012699,Jack in the Box,34.048928,-111.093731
7081,Arizona,33.597994,-112.012699,Jack in the Box,34.048928,-111.093731
7082,Arizona,33.610915,-112.134409,Jack in the Box,34.048928,-111.093731
7083,Arizona,33.493761,-112.273443,Jack in the Box,34.048928,-111.093731
7122,Arizona,31.362975,-110.930889,Wendy's,34.048928,-111.093731
